Name,Team,Age
Avery Bradley,Canada,25
Jae Crowder,Canada,25
John Holland,Canada,27
R.J. Hunter,Canada,22
Jonas Jerebko,Canada,34
Amir Johnson,Canada,29
Jordan Mickey,Canada,21
Kelly Olynyk,Canada,25
Terry Rozier,Canada,22
Marcus Smart,Canada,22
Jared Sullinger,Canada,24
Isaiah Thomas,Canada,27
Evan Turner,Canada,27
James Young,Canada,20
Tyler Zeller,Canada,26
Bojan Bogdanovic,Sweden,27
Markel Brown,Sweden,24
Wayne Ellington,Sweden,28
Rondae Hollis-Jefferson,Sweden,21
Jarrett Jack,Sweden,32
Sergey Karasev,Sweden,22
Sean Kilpatrick,Sweden,26
Shane Larkin,Sweden,23
Brook Lopez,Sweden,28
Chris McCullough,Sweden,21
Willie Reed,Sweden,26
Thomas Robinson,Sweden,25
Henry Sims,Sweden,26
Donald Sloan,Sweden,28
Thaddeus Young,Sweden,27
Arron Afflalo,New York Knicks,30
Lou Amundson,New York Knicks,33
Thanasis Antetokounmpo,New York Knicks,23
Carmelo Anthony,New York Knicks,32
Jose Calderon,New York Knicks,34
Cleanthony Early,New York Knicks,25
Langston Galloway,New York Knicks,24
Jerian Grant,New York Knicks,23
Robin Lopez,New York Knicks,28
Kyle O'Quinn,New York Knicks,26
Kristaps Porzingis,New York Knicks,20
Kevin Seraphin,New York Knicks,26
Lance Thomas,New York Knicks,28
Sasha Vujacic,New York Knicks,32
Derrick Williams,New York Knicks,25
Tony Wroten,New York Knicks,23
Elton Brand,Philadelphia 76ers,37
Isaiah Canaan,Philadelphia 76ers,25
Robert Covington,Philadelphia 76ers,25
Joel Embiid,Philadelphia 76ers,22
Jerami Grant,Philadelphia 76ers,22
Richaun Holmes,Philadelphia 76ers,22
Carl Landry,Philadelphia 76ers,32
Kendall Marshall,Philadelphia 76ers,24
T.J. McConnell,Philadelphia 76ers,24
Nerlens Noel,Philadelphia 76ers,22
Jahlil Okafor,Philadelphia 76ers,20
Ish Smith,Philadelphia 76ers,27
Nik Stauskas,Philadelphia 76ers,22
Hollis Thompson,Philadelphia 76ers,25
